,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
375,Alihe,34,CN,1567541846,98,50.57,123.73,56.25,1.05
376,Tchollire,100,CM,1567541846,91,8.4,14.17,73.71,2.84
377,Yinchuan,35,CN,1567541846,62,38.48,106.21,63.45,2.91
378,Mana,0,NG,1567541846,53,13.03,5.27,85.59,9.04
379,Shirokiy,38,RU,1567541847,69,53.87,39.17,48.99,8.19
380,Plattsburgh,1,US,1567541675,49,44.69,-73.46,72.0,4.27
381,Olinda,40,AU,1567541847,100,-37.84,145.39,53.01,11.41
382,Husavik,98,CA,1567541847,60,50.56,-96.99,57.99,5.01
383,Bertoua,23,CM,1567541847,93,4.58,13.68,69.57,1.54
384,Great Bend,20,US,1567541847,44,38.36,-98.78,97.0,8.05
385,Lixourion,20,GR,1567541848,74,38.2,20.43,78.8,11.41
386,Lompoc,1,US,1567541848,47,34.64,-120.46,91.4,10.29
387,Male,0,UA,1567541848,59,50.74,33.7,66.87,4.85
388,Prieska,0,ZA,1567541848,11,-29.67,22.74,59.31,6.33
389,Emilio Carranza,91,MX,1567541848,48,19.97,-96.61,88.11,9.62
390,Isangel,40,VU,1567541849,88,-19.55,169.27,66.2,15.46
391,Cayenne,20,GF,1567541849,62,4.94,-52.33,87.8,12.75
392,Arkhangelsk,20,RU,1567541849,82,64.54,40.54,64.4,4.47
393,Beatrice,1,US,1567541577,62,40.27,-96.75,87.8,4.7
394,Fomboni,13,KM,1567541849,83,-12.28,43.74,77.13,10.98
395,Iracoubo,0,GF,1567541849,76,5.48,-53.21,81.81,8.61
396,Kysyl-Syr,0,RU,1567541849,95,63.9,122.77,36.63,0.92
397,Necochea,58,AR,1567541850,83,-38.55,-58.74,44.01,15.01
398,Svetlogorsk,90,RU,1567541850,100,53.14,59.15,48.2,8.95
399,Bischofsheim,0,DE,1567541850,56,49.99,8.36,69.8,10.29
400,Simi Valley,5,US,1567541643,36,34.27,-118.78,98.01,6.93
401,Port Elizabeth,1,US,1567541850,48,39.31,-74.98,88.0,6.04
402,Visnes,40,NO,1567541850,76,59.36,5.22,53.6,2.24
403,San Matias,80,BO,1567541850,52,-16.36,-58.4,84.69,8.77
404,Monster,17,NL,1567541851,77,52.03,4.17,64.4,5.82
405,Buala,77,SB,1567541851,78,-8.15,159.59,80.55,1.7
406,Makokou,82,GA,1567541851,96,0.56,12.85,70.65,3.62
407,Impfondo,99,CD,1567541851,87,1.62,18.06,73.89,2.04
408,Turan,81,RU,1567541851,87,52.15,93.92,42.57,2.64
409,Huarmey,0,PE,1567541851,88,-10.07,-78.15,60.75,9.98
410,Sri Aman,99,MY,1567541852,88,1.24,111.46,77.0,1.7
411,Phonhong,100,LA,1567541852,89,18.5,102.42,72.99,1.72
412,Hokitika,100,NZ,1567541615,56,-42.72,170.96,52.65,5.77
413,Bilibino,0,RU,1567541852,57,68.06,166.44,38.61,1.88
414,Ballina,90,IE,1567541852,100,54.11,-9.15,59.0,9.17
415,Sao Jose de Piranhas,89,BR,1567541852,40,-7.12,-38.5,85.95,3.33
416,Imphal,100,IN,1567541852,91,24.8,93.94,69.93,1.79
417,Brookhaven,1,US,1567541837,44,40.78,-72.92,82.99,3.36
418,Mildura,41,AU,1567541853,81,-34.18,142.16,50.0,0.65
419,Mareeba,61,AU,1567541853,87,-16.99,145.42,51.8,2.24
420,Marsa Matruh,40,EG,1567541853,83,31.35,27.25,78.8,8.05
421,Presidencia Roque Saenz Pena,0,AR,1567541829,47,-26.79,-60.44,67.59,8.12
422,Tirau,100,NZ,1567541853,94,-37.98,175.76,60.01,7.0
423,Warrenton,0,ZA,1567541769,14,-28.11,24.85,61.29,12.41
424,Chinchani,100,IN,1567541853,91,16.42,74.53,71.19,13.65
425,Darnah,0,LY,1567541853,84,32.77,22.64,78.39,9.69
426,Corner Brook,90,CA,1567541854,93,48.95,-57.95,62.6,6.93
427,Suntar,67,RU,1567541854,95,62.16,117.65,45.45,4.16
428,Amahai,59,ID,1567541854,89,-3.31,129.0,74.61,7.92
429,Sierre,0,CH,1567541854,93,46.29,7.53,62.01,1.12
430,Priargunsk,100,RU,1567541854,95,50.37,119.09,60.75,4.05
431,Petropavl,44,KZ,1567541854,93,54.87,69.13,42.8,4.47
432,Luderitz,33,NA,1567541855,82,-26.65,15.16,57.2,9.17
433,Barabai,0,ID,1567541855,79,-2.59,115.38,68.85,1.79
434,Warmbad,8,DE,1567541855,54,50.67,13.08,60.01,2.24
435,Fairbanks,75,US,1567541626,62,64.84,-147.72,59.0,3.36
436,Farmington,1,US,1567541855,16,36.73,-108.21,99.0,8.05
437,Aranos,0,NA,1567541855,17,-24.14,19.11,64.53,11.18
438,Omboue,30,GA,1567541855,83,-1.57,9.26,76.05,14.81
439,Biltine,53,TD,1567541856,59,14.53,20.93,84.87,10.74
440,Dallas,40,US,1567541635,34,32.78,-96.8,98.01,4.7
441,Rio Gallegos,75,AR,1567541574,44,-51.62,-69.22,41.0,8.05
442,Barahona,40,DO,1567541856,70,18.21,-71.1,87.8,17.22
443,Mancora,0,PE,1567541856,290,-4.1,-81.05,62.6,11.41
444,Marcala,1,HN,1567541856,36,14.16,-88.04,93.2,2.37
445,Joshimath,100,IN,1567541856,95,30.57,79.57,56.43,0.81
446,Bosaso,0,SO,1567541857,64,11.28,49.18,89.55,7.16
447,Yarada,75,IN,1567541857,88,17.65,83.27,80.6,5.82
448,Pyapon,100,MM,1567541610,95,16.29,95.68,76.23,9.1
449,Saharanpur,33,IN,1567541561,86,29.96,77.54,80.19,5.99
450,High Level,75,CA,1567541857,46,58.52,-117.13,71.6,5.82
451,Bontang,7,ID,1567541857,99,0.12,117.47,71.55,1.14
452,Bandarbeyla,36,SO,1567541857,67,9.49,50.81,76.77,25.57
453,Wattegama,95,LK,1567541857,89,7.35,80.68,72.09,4.65
454,Cabedelo,20,BR,1567541857,69,-6.97,-34.84,80.6,13.87
455,Xining,0,CN,1567541858,83,36.62,101.77,48.33,3.04
456,Maromitsa,53,RU,1567541858,86,59.87,48.01,45.99,1.86
457,Bad Waldsee,0,DE,1567541708,87,47.92,9.75,61.0,3.36
458,Vestmannaeyjar,0,IS,1567541858,70,63.44,-20.27,51.57,18.59
459,Iskateley,27,RU,1567541858,90,67.68,53.15,52.29,8.66
460,Tshane,0,BW,1567541858,16,-24.02,21.87,61.65,8.23
461,Ternate,75,PH,1567541859,88,14.29,120.72,78.8,4.7
462,Mumford,32,GH,1567541859,91,5.26,-0.76,73.71,4.09
463,Jian,100,IN,1567541859,80,25.65,87.89,82.71,7.67
464,Teresa,75,PH,1567541859,88,14.56,121.21,78.8,4.7
465,Luhyny,100,UA,1567541859,83,51.08,28.4,54.09,12.46
466,Demba,100,CD,1567541859,79,-5.47,22.27,75.15,2.95
467,Satuba,75,BR,1567541860,74,-9.57,-35.82,78.8,10.29
468,Maniitsoq,100,GL,1567541860,86,65.42,-52.9,47.25,24.67
469,Daru,100,PG,1567541860,78,-9.07,143.21,72.99,7.45
470,Mendoza,0,AR,1567541860,17,-32.89,-68.84,53.6,4.7
471,Marystown,100,CA,1567541815,97,47.17,-55.16,60.93,19.37
472,Altamira,40,BR,1567541860,56,-3.2,-52.21,93.2,4.7
473,Caravelas,0,BR,1567541860,81,-17.73,-39.27,74.61,10.76
474,Mnogovershinnyy,0,RU,1567541861,75,53.94,139.92,48.33,6.69
475,Rongcheng,100,CN,1567541861,84,37.16,122.42,71.73,13.76
476,Juneau,90,US,1567541861,87,58.3,-134.42,59.0,1.63
477,Bend,1,US,1567541642,30,44.06,-121.32,82.99,8.05
478,Fredericksburg,1,US,1567541564,55,38.3,-77.46,89.01,3.36
479,Lithgow,0,AU,1567541861,100,-33.48,150.16,41.0,3.87
480,Lloydminster,20,CA,1567541861,52,53.28,-110.01,69.8,12.75
481,Genhe,92,CN,1567541862,98,50.78,121.52,55.35,2.01
482,Kuvandyk,100,RU,1567541862,96,51.48,57.35,47.79,1.95
483,Namibe,53,AO,1567541862,85,-15.19,12.15,65.07,6.11
484,Vila,0,IT,1567541863,60,45.18,8.4,75.99,3.36
485,Hambantota,100,LK,1567541652,82,6.12,81.12,80.73,14.0
486,Mitsamiouli,36,KM,1567541863,82,-11.38,43.28,77.49,15.43
487,Albanel,75,CA,1567541863,54,48.88,-72.44,60.01,3.36
488,Coahuayana,16,MX,1567541863,63,18.62,-100.35,86.13,2.77
489,Fort-Shevchenko,0,KZ,1567541864,61,44.51,50.26,69.75,9.17
490,Byron Bay,0,AU,1567541864,93,-28.65,153.62,57.0,3.36
491,Tutoia,0,BR,1567541864,70,-2.76,-42.27,84.2,21.92
492,Tshikapa,0,CD,1567541864,59,-6.42,20.79,78.21,2.82
493,Acari,62,BR,1567541864,51,-6.44,-36.64,83.07,18.68
494,Vardo,20,US,1567541864,42,39.62,-77.74,87.01,8.05
495,Novikovo,0,RU,1567541865,67,51.15,37.89,63.45,9.64
496,Stromness,90,CA,1567541865,64,42.87,-79.55,80.01,13.87
497,Baykit,39,RU,1567541865,95,61.68,96.39,36.45,1.54
498,Lincoln,1,US,1567541840,51,40.8,-96.67,88.0,11.41
499,Kharp,96,RU,1567541865,87,66.82,65.8,44.19,6.67
500,Aswan,0,EG,1567541865,23,24.09,32.9,93.2,4.7
501,Shubarkuduk,88,KZ,1567541570,69,49.15,56.49,52.83,3.29
502,Challapata,1,BO,1567541865,41,-18.9,-66.78,53.91,3.51
503,Mayor Pablo Lagerenza,44,PY,1567541866,25,-19.93,-60.77,79.83,7.58
504,Goderich,83,CA,1567541866,83,43.74,-81.71,78.01,1.99
505,Luanda,28,AO,1567541866,94,-8.83,13.24,71.6,5.82
506,Dingle,100,PH,1567541866,83,11.0,122.67,73.18,3.06
507,Flin Flon,75,CA,1567541866,67,54.77,-101.88,57.2,9.17
508,Tecoanapa,75,MX,1567541867,70,16.99,-99.26,87.8,5.82
509,Bakchar,43,RU,1567541867,97,57.02,82.07,42.03,4.03
510,Morros,75,BR,1567541867,74,-2.87,-44.04,82.4,18.34
511,Melo,0,UY,1567541867,74,-32.37,-54.17,45.81,6.44
512,Kavarna,20,BG,1567541867,64,43.43,28.33,69.8,3.36
513,Pangody,89,RU,1567541867,83,65.85,74.49,46.89,7.92
514,Batavia,40,US,1567541868,50,43.0,-78.19,81.0,4.7
515,Atbasar,0,KZ,1567541868,82,51.81,68.36,44.73,2.04
516,Morgaushi,0,RU,1567541868,71,55.96,46.77,51.8,2.24
517,Poya,24,NC,1567541868,70,-21.35,165.16,69.57,16.31
518,Boa Vista,75,BR,1567541720,66,2.82,-60.67,86.0,8.05
519,Mount Isa,100,AU,1567541868,49,-20.73,139.49,46.4,1.12
520,Erenhot,27,CN,1567541869,31,43.65,111.97,71.55,7.67
521,Saint-Pierre,0,FR,1567541869,72,48.95,4.24,60.8,5.82
522,Kloulklubed,90,PW,1567541869,88,7.04,134.26,77.0,17.22
523,Kyshtovka,98,RU,1567541869,93,56.56,76.62,46.89,4.7
524,Farah,0,AF,1567541869,20,32.37,62.11,74.25,5.79
525,Angoche,67,MZ,1567541870,87,-16.23,39.91,69.93,4.43
526,Avera,75,US,1567541870,52,33.19,-82.53,93.2,8.05
527,Jiutai,0,CN,1567541870,93,44.15,125.84,66.2,4.47
528,Terra Santa,6,BR,1567541870,28,-2.1,-56.49,97.83,4.14
529,Muswellbrook,0,AU,1567541870,87,-32.27,150.89,46.99,2.48
530,Lagoa,0,PT,1567541871,69,37.14,-8.45,78.8,4.7
531,Peniche,0,PT,1567541871,39,39.36,-9.38,80.6,11.41
532,Canyon,1,US,1567541711,21,34.98,-101.92,95.0,10.29
533,Marica,75,BR,1567541764,94,-22.92,-42.82,73.4,12.75
534,Samarai,94,PG,1567541606,82,-10.62,150.67,69.93,7.16
535,Sao Luis de Montes Belos,4,BR,1567541871,20,-16.52,-50.37,89.73,1.97
536,Jinzhou,50,CN,1567541871,86,41.11,121.12,65.25,1.95
537,Ahmadnagar,100,IN,1567541871,88,19.09,74.75,72.45,19.62
538,Tikhvin,100,RU,1567541871,88,59.64,33.53,55.0,5.44
539,Emborion,65,GR,1567541872,46,40.48,21.55,72.0,1.19
540,Ibirama,34,BR,1567541872,79,-27.05,-49.52,68.0,1.99
